id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
33198942,Rental unit in San Francisco · ★4.64 · Studio · 1 bed · 1 bath,72356201,Millennium Flats,,Russian Hill,37.80184,-122.42296,Entire home/apt,120,30,14,11/3/2022,0.26,2,346,2,
33224082,Condo in San Francisco · ★4.87 · 1 bedroom · 2 beds · 1 shared bath,208796981,Clive,,Mission,37.75128,-122.41308,Private room,95,1,71,8/27/2023,1.33,3,80,15,2022-006925STR
33224754,Rental unit in San Francisco · ★4.57 · Studio · 1 bed · 1 bath,3509116,Monty,,Inner Richmond,37.78002,-122.4508,Entire home/apt,74,30,14,5/24/2023,0.26,3,301,4,
33225891,Home in San Francisco · 1 bedroom · 2 beds · 1 bath,10489933,Michelle,,North Beach,37.80138,-122.40684,Entire home/apt,300,30,0,,,1,0,0,
33267971,Rental unit in San Francisco · Studio · 1 bed · 1 bath,107434423,Blueground,,Downtown/Civic Center,37.77479,-122.42057,Entire home/apt,165,31,0,,,150,259,0,
33268331,Rental unit in San Francisco · Studio · 1 bed · 1 bath,107434423,Blueground,,Downtown/Civic Center,37.77479,-122.42057,Entire home/apt,128,31,2,1/17/2022,0.05,150,350,0,
33269893,Rental unit in San Francisco · Studio · 1 bed · 1 bath,107434423,Blueground,,Downtown/Civic Center,37.774794,-122.420569,Entire home/apt,144,31,0,,,150,328,0,
33269979,Rental unit in San Francisco · Studio · 1 bed · 1 bath,107434423,Blueground,,Downtown/Civic Center,37.77479,-122.42057,Entire home/apt,200,31,2,8/15/2023,0.17,150,71,2,
33271309,Rental unit in San Francisco · ★5.0 · 2 bedrooms · 2 beds · 2 baths,226685582,Dylan & Alex,,Haight Ashbury,37.77417,-122.45031,Entire home/apt,729,2,18,5/7/2023,0.33,2,0,2,STR-0003916
33293217,Rental unit in San Francisco · 1 bedroom · 1 bed · 1 bath,116932500,Joe C,,South of Market,37.77687,-122.41239,Entire home/apt,108,60,0,,,1,365,0,
33310899,Guest suite in San Francisco · ★4.78 · 1 bedroom · 2 beds · 1 bath,2792397,Roby,,Castro/Upper Market,37.76357,-122.42654,Entire home/apt,90,30,23,4/8/2023,0.43,1,304,3,City registration pending
33311422,Condo in San Francisco · ★5.0 · 2 bedrooms · 3 beds · 2 baths,5298677,Stewart,,Mission,37.75255,-122.40826,Entire home/apt,388,30,27,5/31/2023,0.51,1,364,3,STR-0004061
33311466,Townhouse in San Francisco · ★4.76 · 2 bedrooms · 1 bed · 1 private bath,172278627,Xinyu,,Outer Richmond,37.77315,-122.50656,Private room,64,1,46,8/29/2023,6.27,6,77,46,City registration pending
33368652,Hotel in San Francisco · 1 bedroom · 2 beds · 1 bath,251141990,April,,Pacific Heights,37.79662,-122.42466,Hotel room,249,1,2,7/7/2019,0.04,5,0,0,
33370186,Hotel in San Francisco · 1 bedroom · 2 beds · 1 bath,251141990,April,,Downtown/Civic Center,37.7867,-122.41084,Hotel room,541,1,0,,,5,0,0,
33370525,Hotel in San Francisco · 1 bedroom · 2 beds · 1 bath,251141990,April,,Downtown/Civic Center,37.78633,-122.41261,Hotel room,345,1,1,5/19/2019,0.02,5,0,0,
33370910,Hotel in San Francisco · 1 bedroom · 2 beds · 1 bath,251141990,April,,Downtown/Civic Center,37.78696,-122.40673,Hotel room,337,1,1,8/19/2019,0.02,5,0,0,
33386303,Hotel in San Francisco · 1 bedroom · 1 bed · 1 bath,251141990,April,,Financial District,37.79538,-122.40188,Hotel room,388,1,0,,,5,0,0,
33400825,Boutique hotel in San Francisco · ★4.46 · 2 bedrooms · 2 beds · 1 shared bath,219930816,Sonder (San Francisco),,Western Addition,37.77365,-122.42373,Private room,253,2,56,8/9/2023,1.06,12,321,11,Exempt
33401021,Boutique hotel in San Francisco · ★4.63 · Studio · 1 bed · 1 bath,219930816,Sonder (San Francisco),,Western Addition,37.77428,-122.42384,Private room,219,2,94,5/29/2023,1.75,12,352,1,Exempt
33419983,Condo in San Francisco · 1 bedroom · 1 bed · 1 bath,1780407,Feb,,South of Market,37.7773,-122.39505,Entire home/apt,250,120,0,,,2,359,0,
33421098,Boutique hotel in San Francisco · ★4.68 · Studio · 1 bed · 1 bath,219930816,Sonder (San Francisco),,Western Addition,37.77565,-122.42355,Private room,239,2,40,4/15/2023,0.75,12,344,8,Exempt
33421279,Boutique hotel in San Francisco · ★4.50 · Studio · 1 bed · 1 bath,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77579,-122.42221,Private room,176,2,24,7/16/2023,0.45,12,332,2,Exempt
33421281,Boutique hotel in San Francisco · ★4.63 · Studio · 2 beds · 1 bath,219930816,Sonder (San Francisco),,Downtown/Civic Center,37.77437,-122.42164,Private room,254,2,44,4/9/2023,0.87,12,317,5,Exempt
